nome,sku,preco,descricao
Chinelo Slide Colcci Logo Preto,CO515SHM14AIN,"104,99","ÍCONE BRASILEIRO: Os chinelos são uns dos calçados mais práticos, versáteis e confortáveis que se pode ter! Símbolo do alto-astral brasileiro, eles se tornaram itens indispensáveis no guarda-roupa, e podem ser usados desde a praia até um passeio no parque, basta escolher qual modelo e estampa mais te agrada, as opções são inúmeras.

ESTILOSO E DEMOCRÁTICO: Os materiais sintéticos são produzidos a partir de compostos químicos, sendo uma ótima alternativa para quem deseja dispensar o uso de produtos de origem animal. Além disso, oferecem conforto e não deixam de lado o estilo!

Sobre a marca: Há 30 anos a Colcci é considerada uma das marcas mais influentes da moda brasileira, graças aos seus produtos que aliam qualidade, sofisticação e informação de moda. A marca é um Must-Have de qualquer guarda-roupa, e conta com peças para todas as ocasiões."
Camiseta Colcci Seaside Dreamer Off-White,CO515APM74KUR,"79,99","Modelagem: Reta
Gola: Redonda
Manga: Curta

Medidas da peça no tamanho M:
• Ombro: 15cm
• Ombro a ombro: 50cm
• Comprimento da manga: 21cm
• Largura da manga: 36cm
• Comprimento da peça: 72cm
• Tórax: 114cm

(Medidas com elasticidade)

Medidas do Modelo: Altura: 1,89m/ Tórax: 100cm/ Manequim: 40.

CLÁSSICA E ATEMPORAL: As camisetas são itens indispensáveis em um guarda-roupa moderno! Elas são extremamente curingas, combinam com diversas composições e são perfeitas para dar aquele toque urbano e descolado com personalidade! Aposte com peças leves para um look esportivo ou peças mais estruturadas para um visual que vai desde o trabalho ao happy hour!

LEVEZA E FLEXIBILIDADE: A malha é um tecido leve e flexível, resultado da tricotagem do tecido. Extremamente confortável, macia ao toque e versátil, é a queridinha para confecção de camisetas, blusas e vestidos, além de ter uma alta durabilidade, perfeita para compor um guarda-roupa minimalista e duradouro.

Há 30 anos a Colcci é considerada uma das marcas mais influentes da moda brasileira. "
Camiseta adidas Performance Entrada 18 Branca,AD970SRM66ZUN,"99,99","Camiseta adidas Performance Entrada 18 Branca/Preta
Modelagem: Reta
Gola: Redonda
Manga: Curta
Estampa: Logo
Detalhes: Possui listras laterais nos ombros.

Medidas da peça no tamanho M:
• Ombro: 14cm
• Ombro a ombro: 48cm
• Comprimento da manga: 26cm
• Largura da manga: 36cm
• Comprimento da peça: 72cm
• Tórax: 104cm

(Medidas com elasticidade)

Medidas do Modelo: Altura: 1,87m/ Tórax: 101cm/ Manequim: 42.

Tecnologia I: Aeroready - controla a umidade para manter o corpo seco e confortável.

Linha: Primegreen - fabricado com materiais reciclados, num esforço para acabar com desperdício de plástico.

CLÁSSICA E ATEMPORAL: As camisetas são itens indispensáveis em um guarda-roupa moderno! Elas são extremamente Curingas, combinam com diversas composições e são perfeitas para dar aquele toque urbano e descolado com personalidade! Aposte com peças leves para um look esportivo ou peças mais estruturadas para um visual que vai desde o trabalho ao happy hour!

EFICIÊNCIA E COMPETITIVIDADE - Atletas no lugar mais alto do pódio. Quebras de recordes recorrentes. Limites superados. Milhões de vitórias e incontáveis títulos em diversas modalidades. Dificilmente em alguma dessas situações esportivas às clássicas “três listras” não estiveram presentes. Símbolo da mais alta eficiência e competitividade alemã nos esportes, a adidas Performance tem seu lugar nos corações que vibram nos treinos e competições por todo o mundo. "
Tênis Converse CT All Star Core Ox Preto,CO324SCU37GJQ,"229,9","Tênis Converse CT All Star Core Ox Preto, com detalhe de ilhós, acabamento pespontado e fecho por cadarço.

Considerada uma das marcas mais tradicionais e icônicas, a Converse abrange um imenso publico, e há mais de 100 anos cria modelos atemporais, cheios de estilo, personalidade e qualidade, que revolucionaram não só o mercado esportivo, mas também o de moda.

O CLÁSSICO QUE NÃO SAI DE MODA! Quem nunca teve uma história com um Converse All Star? O clássico modelo de lona foi um dos pioneiros lançados para prática de basquete. Após o jogador Chuck Taylor usar o modelo em quadra, o atleta se juntou a marca para criarem a linha com seu nome, que logo se tornou febre. Mais tarde, a marca ampliou o mercado para skatistas, obtendo sucesso absoluto, e hoje, o modelo é encontrado nos pés de várias pessoas de diferentes estilos. Um clássico atemporal que atravessa gerações e agrada diversas tribos graças ao seu design versátil e descolado. "
Camiseta GAP Logo Amarela,GA575APM04XWD,"134,99","Modelagem: Reta
Gola: Redonda
Manga: Curta
Estampa: Logo
Detalhes: Possui estampa flocada.

Medidas da peça:
• Ombro: 14cm
• Ombro a ombro: 48cm
• Comprimento da manga: 25cm
• Largura da manga: 34cm
• Comprimento da peça: 75cm
• Tórax: 114cm

(Medidas com elasticidade)

Medidas do Modelo: Altura: 1,87m/ Tórax: 98cm/ Manequim: 40.

CLÁSSICA E ATEMPORAL: As camisetas são itens indispensáveis em um guarda-roupa moderno! Elas são extremamente curingas, combinam com diversas composições e são perfeitas para dar aquele toque urbano e descolado com personalidade! Aposte com peças leves para um look esportivo ou peças mais estruturadas para um visual que vai desde o trabalho ao happy hour!

LEVEZA E FLEXIBILIDADE: A malha é um tecido leve e flexível, resultado da tricotagem do tecido. Extremamente confortável, macia ao toque e versátil, é a queridinha para confecção de camisetas, blusas e vestidos, além de ter uma alta durabilidade, perfeita para compor um guarda-roupa minimalista e duradouro.

Fundada em 1969 a GAP é a maior varejista especializada em roupas dos Estados Unidos. Nascida para atender a todos dentro da ""lacuna geracional"", que teve seu auge com o movimento hippie, a marca virou tendência de moda, referencia de inclusão, valorização de singularidades e a celebração máxima do ""Streetwear Made in U.S.A."", com seus visuais básicos e coleções neutras, necessários nos armários e closets mais versáteis e descolados do mundo. "
Camiseta Aramis Logo Grafite,AR896APM30KVT,"104,99","Modelagem: Reta
Gola: V
Manga: Curta

Medidas da peça no tamanho M:
• Ombro: 15cm
• Ombro a ombro: 50cm
• Comprimento da manga: 22cm
• Largura da manga: 34cm
• Comprimento da peça: 74cm
• Tórax: 112cm

(Medidas com elasticidade)

Medidas do Modelo: Altura: 1,89m/ Tórax: 94cm/ Manequim: 42.

CLÁSSICA E ATEMPORAL: As camisetas são itens indispensáveis em um guarda-roupa moderno! Elas são extremamente curingas, combinam com diversas composições e são perfeitas para dar aquele toque urbano e descolado com personalidade! Aposte com peças leves para um look esportivo ou peças mais estruturadas para um visual que vai desde o trabalho ao happy hour!

LEVEZA E FLEXIBILIDADE: A malha é um tecido leve e flexível, resultado da tricotagem do tecido. Extremamente confortável, macia ao toque e versátil, é a queridinha para confecção de camisetas, blusas e vestidos, além de ter uma alta durabilidade, perfeita para compor um guarda-roupa minimalista e duradouro.

Criada em 1995 e pioneira no trabalho com fio egípcio no mercado brasileiro. A proposta da grife Aramis é baseada em moda masculina moderna e sofisticada, com poder de inovação, prezando por elegância e conforto. "
Camiseta Fila Classic Branca,FI477SRM06EXX,"89,99","Modelagem: Reta
Gola: Redonda
Manga: Curta
Detalhes: Possui logo bordado.

Medidas da peça no tamanho M:
• Ombro: 13cm
• Ombro a ombro: 45cm
• Comprimento da manga: 27cm
• Largura da manga: 36cm
• Comprimento da peça: 74cm
• Tórax: 116cm

(Medidas com elasticidade)

Medidas do Modelo: Altura: 1,85m/ Tórax: 97cm/ Manequim: 40.

VERSÁTIL E ESTILOSA: As camisetas são itens indispensáveis em um guarda-roupa moderno, são perfeitas para dar aquele toque urbano e descolado com personalidade! Aposte com peças leves para um look descontraído ou peças mais estruturadas para um visual que vai desde o trabalho ao happy hour!

LEVEZA E FLEXIBILIDADE: A malha é um tecido leve e flexível, resultado da tricotagem do tecido. Extremamente confortável, macia ao toque e versátil, é a queridinha para confecção de camisetas, blusas e vestidos, além de ter uma alta durabilidade, perfeita para compor um guarda-roupa minimalista e duradouro.

Com mais de 110 anos de tradição, a Fila entrega produtos que aliam qualidade e conforto, perfeitos para te acompanhar no treino ou no dia a dia. "
Boné Aberto Classic Patch Trucker Aba Reta Preto,VA134SAM25YMW,"159,99","Boné Vans Classic Patch Trucker preto, confeccionado em material têxtil com recorte em tela, bordado frontal e aba reta. Medindo 56cm podendo ser ajustado para mais e para menos. O Boné Vans Classic Patch Trucker é ideal para uso no dia a dia."
Camiseta GAP Logo Azul-Marinho,GA575APM94XWN,"119,99","Modelagem: Reta
Gola: Redonda
Manga: Curta
Estampa: Logo

Medidas da peça no tamanho M:
• Ombro: 17cm
• Ombro a ombro: 52cm
• Comprimento da manga: 25cm
• Largura da manga: 38cm
• Comprimento da peça: 71cm
• Tórax: 118cm

(Medidas com elasticidade)

Medidas do Modelo: Altura: 1,84m/ Tórax: 90cm/ Manequim: 38.

CLÁSSICA E ATEMPORAL: As camisetas são itens indispensáveis em um guarda-roupa moderno! Elas são extremamente curingas, combinam com diversas composições e são perfeitas para dar aquele toque urbano e descolado com personalidade! Aposte com peças leves para um look esportivo ou peças mais estruturadas para um visual que vai desde o trabalho ao happy hour!

LEVEZA E FLEXIBILIDADE: A malha é um tecido leve e flexível, resultado da tricotagem do tecido. Extremamente confortável, macia ao toque e versátil, é a queridinha para confecção de camisetas, blusas e vestidos, além de ter uma alta durabilidade, perfeita para compor um guarda-roupa minimalista e duradouro.

Fundada em 1969 a GAP é a maior varejista especializada em roupas dos Estados Unidos. Nascida para atender a todos dentro da ""lacuna geracional"", que teve seu auge com o movimento hippie, a marca virou tendência de moda, referencia de inclusão, valorização de singularidades e a celebração máxima do ""Streetwear Made in U.S.A."", com seus visuais básicos e coleções neutras, necessários nos armários e closets mais versáteis e descolados do mundo. "
Sandália Via Uno Amarração Bege,VI185SHF56JDV,"69,99","Salto no tamanho 38: 3cm

Sobre as Medidas: As dimensões da peça podem variar dentro da grade, de acordo com o tamanho do calçado.

MUST HAVE DO VERÃO: as sandálias são as queridinhas do verão! Facilitam o dia a dia corrido com muito estilo e praticidade, além de compor looks de trabalho com muita elegância ou looks para passeio com seus modelos mais despojados e modernos. Aposte na que mais faz seu estilo e use e abuse!

ESTILOSO E CRUELTY-FREE: Os materiais sintéticos são produzidos a partir de compostos químicos, sendo uma ótima alternativa para quem deseja dispensar o uso de produtos de origem animal. Além disso, oferecem conforto e não deixam de lado o estilo!

Sobre a marca: A Via Uno acompanha as principais tendências da moda mundial para criar calçados modernos, estilosos e com muito conforto. Seu material de alta qualidade é alternativo, e não utiliza matéria prima de origem animal em sua fabricação."
